event_id,entity_id,entity_type,timestamp,source_ip,geo_country,geo_city,geo_lat,geo_lon,resource_accessed,auth_method,auth_success,session_id,session_duration,command_sequence,device_os,device_mac,device_protocol,device_user_agent,bytes_out,bytes_in,split
evt_ses_dev_0012_00000_000,dev_0012,edge_device,2026-01-05 00:04:51.063059+00:00,10.138.81.21,Singapore,Singapore,1.3130958281505287,103.81231632497399,/plant/heartbeat,token,True,ses_dev_0012_00000,95.84636599724122,handshake,Yocto Linux / fw 3.0.1,02:3e:1d:b2:ec:ea,https,Yocto-agent/1.0,1395.40048975995,904.8258389428986,train
evt_ses_dev_0012_00000_001,dev_0012,edge_device,2026-01-05 00:05:29.012367+00:00,10.138.81.21,Singapore,Singapore,1.3130958281505287,103.81231632497399,/plant/heartbeat,token,True,ses_dev_0012_00000,95.84636599724122,handshake > push_telemetry,Yocto Linux / fw 3.0.1,02:3e:1d:b2:ec:ea,https,Yocto-agent/1.0,2898.0428836364736,383.93508862795284,train
evt_ses_dev_0018_00000_000,dev_0018,edge_device,2026-01-05 00:09:00.003469+00:00,10.34.196.174,India,Bengaluru,12.94445371787268,77.57005024613716,/plant/control/setpoints,certificate,True,ses_dev_0018_00000,54.397759151500864,handshake,Yocto Linux / fw 3.0.1,02:38:69:5b:3a:df,https,Yocto-agent/1.0,5547.0848771715055,1268.099366564244,train
evt_ses_dev_0018_00000_001,dev_0018,edge_device,2026-01-05 00:09:17.031822+00:00,10.34.196.174,India,Bengaluru,12.94445371787268,77.57005024613716,/plant/heartbeat,certificate,True,ses_dev_0018_00000,54.397759151500864,handshake > read_sensor,Yocto Linux / fw 3.0.1,02:38:69:5b:3a:df,https,Yocto-agent/1.0,1854.1447593365124,1526.4232771894654,train
evt_ses_svc_0011_00000_000,svc_0011,service_account,2026-01-05 00:09:42.070312+00:00,10.106.45.14,United Kingdom,London,51.467510976838796,-0.14158542329059276,/queue/ingest,token,True,ses_svc_0011_00000,405.8507711758176,authenticate,Debian 12 (container),02:27:3e:54:2b:0a,https,Debian-agent/1.0,253989.34315628387,49106.333474379426,train
evt_ses_svc_0011_00000_001,svc_0011,service_account,2026-01-05 00:11:18.337037+00:00,10.106.45.14,United Kingdom,London,51.467510976838796,-0.14158542329059276,/cache/warm,token,True,ses_svc_0011_00000,405.8507711758176,authenticate > snapshot,Debian 12 (container),02:27:3e:54:2b:0a,https,Debian-agent/1.0,102748.68770914036,92342.74873164101,train
evt_ses_svc_0011_00000_002,svc_0011,service_account,2026-01-05 00:13:16.039397+00:00,10.106.45.14,United Kingdom,London,51.467510976838796,-0.14158542329059276,/metrics/push,token,True,ses_svc_0011_00000,405.8507711758176,authenticate > snapshot > snapshot,Debian 12 (container),02:27:3e:54:2b:0a,https,Debian-agent/1.0,80902.16869728488,13366.119528824953,train
evt_ses_svc_0013_00000_000,svc_0013,service_account,2026-01-05 00:18:18.412561+00:00,10.19.192.175,India,Pune,18.44874406087321,73.81147452848637,/db/warehouse/write,certificate,True,ses_svc_0013_00000,269.76597363780746,authenticate,Alpine 3.19 (container),02:10:44:06:df:2b,https,Alpine-agent/1.0,413928.134970712,142261.21382686275,train
evt_ses_svc_0013_00000_001,svc_0013,service_account,2026-01-05 00:19:08.927081+00:00,10.19.192.175,India,Pune,18.44874406087321,73.81147452848637,/etl/nightly/extract,certificate,True,ses_svc_0013_00000,269.76597363780746,authenticate > read_queue,Alpine 3.19 (container),02:10:44:06:df:2b,https,Alpine-agent/1.0,302970.3981183828,34414.17158846141,train
evt_ses_svc_0013_00000_002,svc_0013,service_account,2026-01-05 00:19:58.978904+00:00,10.19.192.175,India,Pune,18.44874406087321,73.81147452848637,/etl/nightly/extract,certificate,True,ses_svc_0013_00000,269.76597363780746,authenticate > read_queue > read_queue,Alpine 3.19 (container),02:10:44:06:df:2b,https,Alpine-agent/1.0,120627.81425290207,53636.11956602795,train
evt_ses_svc_0013_00000_003,svc_0013,service_account,2026-01-05 00:20:51.039876+00:00,10.19.192.175,India,Pune,18.44874406087321,73.81147452848637,/db/warehouse/write,certificate,True,ses_svc_0013_00000,269.76597363780746,authenticate > read_queue > read_queue > read_queue,Alpine 3.19 (container),02:10:44:06:df:2b,https,Alpine-agent/1.0,91492.52471205665,281058.86657519557,train
evt_ses_svc_0013_00000_004,svc_0013,service_account,2026-01-05 00:21:34.972420+00:00,10.19.192.175,India,Pune,18.44874406087321,73.81147452848637,/etl/nightly/extract,certificate,True,ses_svc_0013_00000,269.76597363780746,authenticate > read_queue > read_queue > read_queue > write_warehouse,Alpine 3.19 (container),02:10:44:06:df:2b,https,Alpine-agent/1.0,120631.10936366214,72763.4896006664,train
evt_ses_user_0106_00000_000,user_0106,user,2026-01-05 00:24:46.637011+00:00,10.223.228.129,India,Pune,18.544577910355592,73.85142347136149,/git/platform-core,token,True,ses_user_0106_00000,1273.7626388287626,login,Windows 11 22H2,02:68:f3:e9:4e:15,ssh,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/122.0,22390.5198652291,3834.325677231983,train
evt_ses_user_0106_00000_001,user_0106,user,2026-01-05 00:28:18.388941+00:00,10.223.228.129,India,Pune,18.544577910355592,73.85142347136149,/k8s/staging/logs,token,True,ses_user_0106_00000,1273.7626388287626,login > query_db,Windows 11 22H2,02:68:f3:e9:4e:15,ssh,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/122.0,5483.7853439352575,17608.514287441278,train
evt_ses_user_0106_00000_002,user_0106,user,2026-01-05 00:32:11.065279+00:00,10.223.228.129,India,Pune,18.544577910355592,73.85142347136149,/k8s/staging/logs,token,True,ses_user_0106_00000,1273.7626388287626,login > query_db > query_db,Windows 11 22H2,02:68:f3:e9:4e:15,ssh,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/122.0,28900.4605139884,4871.221839540915,train
evt_ses_user_0106_00000_003,user_0106,user,2026-01-05 00:34:32.770113+00:00,10.223.228.129,India,Pune,18.544577910355592,73.85142347136149,/db/staging/query,token,True,ses_user_0106_00000,1273.7626388287626,login > query_db > query_db > query_db,Windows 11 22H2,02:68:f3:e9:4e:15,ssh,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/122.0,8279.436334685255,2832.2285417171574,train
evt_ses_user_0106_00000_004,user_0106,user,2026-01-05 00:37:08.934891+00:00,10.223.228.129,India,Pune,18.544577910355592,73.85142347136149,/db/staging/query,token,True,ses_user_0106_00000,1273.7626388287626,login > query_db > query_db > query_db > query_db,Windows 11 22H2,02:68:f3:e9:4e:15,ssh,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/122.0,7221.710175851234,1908.9005014527447,train
evt_ses_user_0106_00000_005,user_0106,user,2026-01-05 00:41:20.815376+00:00,10.223.228.129,India,Pune,18.544577910355592,73.85142347136149,/db/staging/query,token,True,ses_user_0106_00000,1273.7626388287626,login > query_db > query_db > query_db > query_db > query_db,Windows 11 22H2,02:68:f3:e9:4e:15,ssh,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/122.0,16822.80532506194,613.469186736555,train
evt_ses_user_0106_00000_006,user_0106,user,2026-01-05 00:43:04.564627+00:00,10.223.228.129,India,Pune,18.544577910355592,73.85142347136149,/k8s/staging/pods,token,True,ses_user_0106_00000,1273.7626388287626,login > query_db > query_db > query_db > query_db > query_db > logout,Windows 11 22H2,02:68:f3:e9:4e:15,ssh,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/122.0,24857.42537094023,3642.3210152952374,train
evt_atk_imposs00063_home,svc_0044,service_account,2026-01-05 02:41:22.011389+00:00,10.73.36.61,India,Chennai,13.03407803048916,80.24335203531487,/cache/warm,token,True,ses_atk_imposs00063_home,517.7180950859226,login > view_document,Debian 12 (container),02:cd:d2:c0:c4:56,https,Debian-agent/1.0,18204.435271779457,12956.711976503588,train
evt_ses_user_0139_00000_000,user_0139,user,2026-01-05 02:50:33.693781+00:00,10.31.159.6,India,Chennai,13.081924841413576,80.3105507241229,/docs/analysis,mfa,True,ses_user_0139_00000,1304.225752750295,login,macOS 14.4,02:57:35:14:e7:14,https,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_4) Safari/17.4,9989.219733731132,17473.072301518056,train
evt_ses_user_0139_00000_001,user_0139,user,2026-01-05 02:55:30.447881+00:00,10.31.159.6,India,Chennai,13.081924841413576,80.3105507241229,/portal/home,mfa,True,ses_user_0139_00000,1304.225752750295,login > run_query,macOS 14.4,02:57:35:14:e7:14,https,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_4) Safari/17.4,17591.21972846748,12953.623714131762,train
evt_ses_user_0139_00000_002,user_0139,user,2026-01-05 02:59:14.526433+00:00,10.31.159.6,India,Chennai,13.081924841413576,80.3105507241229,/portal/home,mfa,True,ses_user_0139_00000,1304.225752750295,login > run_query > build_report,macOS 14.4,02:57:35:14:e7:14,https,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_4) Safari/17.4,44728.98672528415,18870.876473984594,train
evt_ses_user_0139_00000_003,user_0139,user,2026-01-05 03:03:43.769536+00:00,10.31.159.6,India,Chennai,13.081924841413576,80.3105507241229,/db/warehouse/query,mfa,True,ses_user_0139_00000,1304.225752750295,login > run_query > build_report > download_report,macOS 14.4,02:57:35:14:e7:14,https,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_4) Safari/17.4,7976.565940443921,12995.548992568898,train
evt_ses_user_0139_00000_004,user_0139,user,2026-01-05 03:06:27.553557+00:00,10.31.159.6,India,Chennai,13.081924841413576,80.3105507241229,/db/warehouse/export,mfa,True,ses_user_0139_00000,1304.225752750295,login > run_query > build_report > download_report > build_report,macOS 14.4,02:57:35:14:e7:14,https,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_4) Safari/17.4,8375.563966300968,7294.308195640111,train
evt_ses_user_0139_00000_005,user_0139,user,2026-01-05 03:10:48.323881+00:00,10.31.159.6,India,Chennai,13.081924841413576,80.3105507241229,/db/warehouse/export,mfa,True,ses_user_0139_00000,1304.225752750295,login > run_query > build_report > download_report > build_report > logout,macOS 14.4,02:57:35:14:e7:14,https,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_4) Safari/17.4,30299.878653501964,21178.907944958642,train
evt_atk_imposs00063_far0,svc_0044,service_account,2026-01-05 03:15:40.011389+00:00,45.173.189.44,Ukraine,Kyiv,50.46781416613382,30.528400736838666,/api/gateway/orders,token,True,ses_atk_imposs00063_far,787.4164187882423,login > search_docs,Ubuntu 20.04,02:bf:08:a7:28:ce,https,Mozilla/5.0 (X11; Linux x86_64) Firefox/124.0,27657.80742630489,8646.768571647286,train
evt_atk_imposs00063_far1,svc_0044,service_account,2026-01-05 03:16:43.794508+00:00,91.44.179.221,Ukraine,Kyiv,50.46781416613382,30.528400736838666,/api/gateway/orders,token,True,ses_atk_imposs00063_far,1101.7949351894617,login > search_docs > download_report,Ubuntu 20.04,02:bf:08:a7:28:ce,https,Mozilla/5.0 (X11; Linux x86_64) Firefox/124.0,23368.595536266213,10667.849009584486,train
evt_atk_device00082_000,user_0068,user,2026-01-05 15:41:54.678971+00:00,10.119.47.90,India,Gurugram,28.40379238580372,77.11018279933715,/portal/home,mfa,True,ses_atk_device00082,1066.6624352390595,login,Windows 11 22H2,02:21:ed:08:5e:ef,https,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/122.0,41049.63415532972,10772.756403509788,train
evt_atk_device00082_001,user_0068,user,2026-01-05 15:44:24.561905+00:00,10.119.47.90,India,Gurugram,28.40379238580372,77.11018279933715,/db/warehouse/query,mfa,True,ses_atk_device00082,1066.6624352390595,login > open_dashboard,Windows 11 22H2,02:21:ed:08:5e:ef,https,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/122.0,28994.382268605354,18180.580876008607,train
evt_atk_device00082_002,user_0068,user,2026-01-05 15:46:05.663290+00:00,10.119.47.90,India,Gurugram,28.40379238580372,77.11018279933715,/reports/monthly-summary,mfa,True,ses_atk_device00082,1066.6624352390595,login > open_dashboard > run_query,Windows 11 22H2,02:21:ed:08:5e:ef,https,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/122.0,27718.08744662768,26318.63404368611,train
evt_atk_creden00020_000,user_0065,user,2026-01-05 20:26:16.007980+00:00,10.33.99.183,India,Pune,18.410134198615328,73.91154771017254,/k8s/staging/logs,mfa,True,ses_atk_creden00020,4728.0564816461,login > search_docs,Windows 11 22H2,02:2b:eb:46:9f:d6,ssh,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/122.0,45287.82710559148,2708.6661578988433,train
evt_atk_creden00020_001,user_0065,user,2026-01-05 20:30:10.623787+00:00,10.33.99.183,India,Pune,18.410134198615328,73.91154771017254,/ci/pipeline/build,mfa,True,ses_atk_creden00020,4728.0564816461,login > search_docs > view_document,Windows 11 22H2,02:2b:eb:46:9f:d6,ssh,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/122.0,34137.613340771146,8074.701770434423,train
evt_atk_creden00020_002,user_0065,user,2026-01-05 20:32:12.336722+00:00,10.33.99.183,India,Pune,18.410134198615328,73.91154771017254,/vault/customer-pii/bulk,mfa,True,ses_atk_creden00020,4728.0564816461,login > search_docs > view_document > download_report,Windows 11 22H2,02:2b:eb:46:9f:d6,ssh,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/122.0,43746.93208703899,6917.616295691503,train
evt_atk_creden00020_003,user_0065,user,2026-01-05 20:35:48.989891+00:00,10.33.99.183,India,Pune,18.410134198615328,73.91154771017254,/admin/iam/roles,mfa,True,ses_atk_creden00020,4728.0564816461,login > search_docs > view_document > download_report > export_result,Windows 11 22H2,02:2b:eb:46:9f:d6,ssh,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/122.0,31765.83841555145,4489.269238960892,train
